Type,Value,Source,Threat_Category,Date
url,https://gtechsyncq.run/riid,ThreatFox API,botnet_cc,2025-04-29 06:05:35 UTC
url,https://hbuzzarddf.live/ktnt,ThreatFox API,botnet_cc,2025-04-29 06:05:35 UTC
url,https://9hbuzzarddf.live/ktnt,ThreatFox API,botnet_cc,2025-04-29 06:05:20 UTC
url,https://2-longitudde.digital/wizu,ThreatFox API,botnet_cc,2025-04-29 06:05:18 UTC
ip:port,82.21.158.147:9373,ThreatFox API,botnet_cc,2025-04-29 05:56:07 UTC
ip:port,198.54.129.52:6623,ThreatFox API,botnet_cc,2025-04-29 05:56:06 UTC
url,https://ufishgh.digital/tequ,ThreatFox API,botnet_cc,2025-04-29 05:55:58 UTC
url,https://ctechsyncq.run/riid,ThreatFox API,botnet_cc,2025-04-29 05:55:43 UTC
url,https://ybtcgeared.live/lbak,ThreatFox API,botnet_cc,2025-04-29 05:50:56 UTC
url,https://y-btcgeared.live/lbak,ThreatFox API,botnet_cc,2025-04-29 05:50:55 UTC
url,https://utechguidet.digital/apdo,ThreatFox API,botnet_cc,2025-04-29 05:50:53 UTC
url,https://ptechsyncq.run/riid,ThreatFox API,botnet_cc,2025-04-29 05:50:45 UTC
url,https://mfishgh.digital/tequ,ThreatFox API,botnet_cc,2025-04-29 05:50:41 UTC
url,https://9parakehjet.run/kewk,ThreatFox API,botnet_cc,2025-04-29 05:50:29 UTC
url,https://8buzzarddf.live/ktnt,ThreatFox API,botnet_cc,2025-04-29 05:50:28 UTC
url,https://3buzzarddf.live/ktnt,ThreatFox API,botnet_cc,2025-04-29 05:50:27 UTC
url,https://0zenithcorde.top/auid,ThreatFox API,botnet_cc,2025-04-29 05:50:26 UTC
url,https://waardvarkw.live/gapo,ThreatFox API,botnet_cc,2025-04-29 05:45:57 UTC
url,https://wealthperson.icu/art.php,ThreatFox API,botnet_cc,2025-04-29 05:38:34 UTC
ip:port,176.65.144.19:8848,ThreatFox API,botnet_cc,2025-04-29 05:30:46 UTC
md5_hash,a8c09a3ad7a8faab7be4d46bbec4e01a,ThreatFox API,payload,2025-04-29 05:27:40 UTC
md5_hash,8b157ad42fa665d263904052f56a009b,ThreatFox API,payload,2025-04-29 05:27:40 UTC
md5_hash,f6359f375ae370e15bfef366f238ee15,ThreatFox API,payload,2025-04-29 05:27:39 UTC
md5_hash,d16ec8c2dc42401f3acea469c128d981,ThreatFox API,payload,2025-04-29 05:27:38 UTC
md5_hash,cff6c948bfede2c14590bd5daacd96ef,ThreatFox API,payload,2025-04-29 05:27:37 UTC
md5_hash,21c244771422cf24ef49cdaf2b437c12,ThreatFox API,payload,2025-04-29 05:27:37 UTC
url,http://94.156.177.41/ugopounds/five/PvqDq929BSx_A_D_M1n_a.php,ThreatFox API,botnet_cc,2025-04-29 05:27:36 UTC
md5_hash,da15ca8a6a316ee543ecc0cf4799700e,ThreatFox API,payload,2025-04-29 05:27:35 UTC
ip:port,209.141.34.106:60195,ThreatFox API,botnet_cc,2025-04-29 05:27:34 UTC
domain,dmlfq.press,ThreatFox API,payload_delivery,2025-04-29 05:27:33 UTC
ip:port,189.1.219.57:2095,ThreatFox API,botnet_cc,2025-04-29 05:21:47 UTC
ip:port,176.65.138.151:443,ThreatFox API,botnet_cc,2025-04-29 05:21:47 UTC
ip:port,35.84.54.233:443,ThreatFox API,botnet_cc,2025-04-29 04:58:45 UTC
ip:port,3.111.245.7:3333,ThreatFox API,botnet_cc,2025-04-29 04:58:43 UTC
ip:port,13.237.25.45:443,ThreatFox API,botnet_cc,2025-04-29 04:58:42 UTC
ip:port,144.126.213.111:3333,ThreatFox API,botnet_cc,2025-04-29 04:58:40 UTC
ip:port,104.197.96.132:10443,ThreatFox API,botnet_cc,2025-04-29 04:58:39 UTC
ip:port,37.46.132.141:3333,ThreatFox API,botnet_cc,2025-04-29 04:58:37 UTC
ip:port,141.148.224.186:55555,ThreatFox API,botnet_cc,2025-04-29 04:58:36 UTC
ip:port,44.237.17.191:443,ThreatFox API,botnet_cc,2025-04-29 04:58:34 UTC
ip:port,103.197.226.6:3333,ThreatFox API,botnet_cc,2025-04-29 04:58:33 UTC
ip:port,143.198.212.64:8080,ThreatFox API,botnet_cc,2025-04-29 04:58:32 UTC
ip:port,3.38.68.100:443,ThreatFox API,botnet_cc,2025-04-29 04:58:31 UTC
ip:port,209.38.57.27:8080,ThreatFox API,botnet_cc,2025-04-29 04:58:29 UTC
ip:port,34.9.145.167:2053,ThreatFox API,botnet_cc,2025-04-29 04:58:28 UTC
